x 	 analitycal w t = 0.5	PCMN_THOMAS w t = 0.5	analitycal w t = 1	PCMN_THOMAS w t = 1	analitycal w t = 1.99999	PCMN_THOMAS w t = 1.99999
2.71	0.967799	0.9678	0.916382	0.916383	0.855148	0.855148
2.715	0.968197	0.968198	0.917035	0.917036	0.855924	0.855924
2.72	0.968591	0.968592	0.917684	0.917685	0.856696	0.856696
2.725	0.968981	0.968982	0.918328	0.918329	0.857464	0.857464
2.73	0.969366	0.969367	0.918968	0.918969	0.858228	0.858229
2.735	0.969747	0.969749	0.919603	0.919604	0.858988	0.858989
2.74	0.970124	0.970126	0.920234	0.920235	0.859745	0.859745
2.745	0.970497	0.970498	0.92086	0.920861	0.860498	0.860498
2.75	0.970866	0.970867	0.921482	0.921483	0.861246	0.861247
2.755	0.971231	0.971232	0.922099	0.9221	0.861991	0.861992
2.76	0.971591	0.971592	0.922713	0.922714	0.862733	0.862733
2.765	0.971948	0.971949	0.923322	0.923323	0.86347	0.863471
2.77	0.972301	0.972302	0.923927	0.923928	0.864204	0.864204
2.775	0.972649	0.97265	0.924527	0.924528	0.864934	0.864935
2.78	0.972994	0.972995	0.925123	0.925124	0.86566	0.865661
2.785	0.973335	0.973336	0.925716	0.925717	0.866383	0.866383
2.79	0.973672	0.973673	0.926304	0.926305	0.867102	0.867102
2.795	0.974006	0.974007	0.926887	0.926888	0.867817	0.867818
2.8	0.974335	0.974337	0.927467	0.927468	0.868529	0.86853
2.805	0.974661	0.974662	0.928043	0.928044	0.869237	0.869238
2.81	0.974984	0.974985	0.928615	0.928615	0.869942	0.869942
2.815	0.975302	0.975303	0.929182	0.929183	0.870643	0.870643
2.82	0.975617	0.975618	0.929746	0.929747	0.87134	0.871341
2.825	0.975929	0.97593	0.930305	0.930306	0.872034	0.872034
2.83	0.976237	0.976238	0.930861	0.930862	0.872724	0.872725
2.835	0.976541	0.976542	0.931413	0.931414	0.873411	0.873412
2.84	0.976842	0.976843	0.93196	0.931961	0.874095	0.874095
2.845	0.97714	0.977141	0.932504	0.932505	0.874775	0.874775
2.85	0.977434	0.977435	0.933044	0.933045	0.875451	0.875452
2.855	0.977725	0.977726	0.933581	0.933582	0.876124	0.876125
2.86	0.978012	0.978013	0.934113	0.934114	0.876794	0.876794
2.865	0.978296	0.978297	0.934642	0.934643	0.87746	0.877461
2.87	0.978577	0.978578	0.935167	0.935168	0.878123	0.878124
2.875	0.978855	0.978856	0.935688	0.935689	0.878783	0.878783
2.88	0.979129	0.97913	0.936205	0.936206	0.879439	0.879439
2.885	0.9794	0.979401	0.936719	0.93672	0.880092	0.880092
2.89	0.979669	0.979669	0.937229	0.93723	0.880741	0.880742
2.895	0.979934	0.979934	0.937735	0.937736	0.881388	0.881388
2.9	0.980195	0.980196	0.938238	0.938239	0.882031	0.882031
2.905	0.980454	0.980455	0.938737	0.938738	0.882671	0.882671
2.91	0.98071	0.980711	0.939233	0.939234	0.883307	0.883308
2.915	0.980963	0.980964	0.939725	0.939726	0.883941	0.883941
2.92	0.981213	0.981214	0.940214	0.940214	0.884571	0.884571
2.925	0.98146	0.981461	0.940699	0.940699	0.885198	0.885198
2.93	0.981704	0.981705	0.94118	0.941181	0.885821	0.885822
2.935	0.981945	0.981946	0.941658	0.941659	0.886442	0.886443
2.94	0.982184	0.982185	0.942133	0.942134	0.88706	0.88706
2.945	0.982419	0.98242	0.942604	0.942605	0.887674	0.887674
2.95	0.982652	0.982653	0.943072	0.943073	0.888285	0.888286
2.955	0.982882	0.982883	0.943536	0.943537	0.888893	0.888894
2.96	0.98311	0.98311	0.943997	0.943998	0.889498	0.889499
2.965	0.983334	0.983335	0.944455	0.944456	0.8901	0.890101
